tick,population,food_count,avg_speed,avg_vision,avg_metabolism,avg_repro_threshold,avg_energy
410,518,0,2.880,3.301,0.415,15.055,6.729
415,519,0,2.879,3.329,0.416,15.111,6.941
420,513,1,2.871,3.337,0.411,15.449,7.005
425,534,0,2.869,3.296,0.411,15.434,6.988
430,529,0,2.894,3.321,0.409,15.578,7.067
435,535,2,2.901,3.368,0.415,15.777,6.857
440,523,0,2.899,3.342,0.417,15.957,6.909
445,535,0,2.899,3.308,0.413,15.654,6.626
450,516,0,2.895,3.320,0.413,15.644,6.747
455,505,0,2.917,3.313,0.416,15.424,6.818
460,501,0,2.908,3.315,0.410,15.408,6.927
465,505,0,2.913,3.291,0.410,15.536,7.136
470,510,1,2.896,3.322,0.413,15.631,7.210
475,516,0,2.897,3.277,0.415,16.058,7.116
480,501,0,2.898,3.343,0.414,16.476,7.371
485,507,0,2.899,3.325,0.414,16.906,7.427
490,515,1,2.893,3.282,0.414,16.999,7.409
495,505,1,2.897,3.259,0.410,16.889,7.716
500,482,0,2.892,3.232,0.408,17.506,7.843
505,494,0,2.899,3.271,0.411,17.572,8.124
510,524,0,2.884,3.263,0.412,17.302,7.885
515,521,1,2.873,3.298,0.412,17.522,7.939
520,526,1,2.882,3.317,0.415,17.792,7.828
525,516,0,2.913,3.343,0.414,18.107,8.060
530,495,0,2.905,3.386,0.414,18.233,8.549
535,517,0,2.882,3.397,0.413,18.288,8.340
540,492,0,2.888,3.400,0.411,18.594,8.787
545,509,0,2.898,3.389,0.412,18.573,8.882
550,533,0,2.891,3.394,0.414,18.547,8.406
555,512,1,2.889,3.355,0.414,18.684,8.754
560,511,0,2.892,3.303,0.411,18.748,8.709
565,515,0,2.901,3.307,0.417,19.122,8.638
570,507,0,2.895,3.345,0.415,19.356,8.945
575,524,1,2.882,3.359,0.412,19.411,8.762
580,511,0,2.894,3.366,0.411,19.558,8.689
585,496,1,2.899,3.387,0.413,19.581,9.049
590,516,0,2.870,3.388,0.414,19.418,8.725
595,503,1,2.867,3.408,0.414,19.402,8.843
600,512,0,2.875,3.398,0.415,19.325,8.876
605,501,2,2.860,3.423,0.416,19.506,8.871
610,490,0,2.855,3.414,0.416,19.673,9.113
615,508,0,2.848,3.400,0.416,19.578,8.812
620,524,1,2.849,3.328,0.415,19.581,8.776
625,538,0,2.855,3.318,0.415,19.314,8.642
630,533,0,2.874,3.306,0.415,19.393,8.806
635,523,0,2.895,3.365,0.412,19.452,8.886
640,511,0,2.904,3.337,0.411,19.624,8.966
645,520,0,2.904,3.323,0.412,19.689,8.808
650,515,0,2.899,3.322,0.414,19.664,9.029
655,514,0,2.916,3.327,0.413,20.156,8.803
660,496,0,2.927,3.323,0.408,20.193,9.229
665,509,0,2.914,3.334,0.413,20.290,9.173
670,506,0,2.917,3.308,0.416,20.098,9.035
675,516,0,2.924,3.308,0.414,19.925,8.993
680,528,1,2.905,3.330,0.409,19.600,8.685
685,523,0,2.897,3.314,0.408,19.636,8.955
690,530,1,2.896,3.326,0.410,19.677,8.955
695,533,0,2.910,3.313,0.411,19.610,8.796
700,512,0,2.922,3.289,0.411,20.116,9.101
705,519,0,2.913,3.281,0.407,20.112,9.242
710,529,1,2.892,3.287,0.409,20.280,9.154
715,518,1,2.905,3.307,0.409,20.482,9.299
720,507,0,2.903,3.304,0.410,20.550,9.576
725,517,0,2.899,3.292,0.412,20.467,9.336
730,505,1,2.925,3.285,0.416,20.501,9.331
735,499,0,2.930,3.301,0.414,20.513,9.740
740,514,0,2.926,3.296,0.412,20.670,9.411
745,535,1,2.923,3.284,0.414,20.548,9.192
750,519,0,2.923,3.312,0.416,20.687,9.224
755,519,0,2.933,3.304,0.413,20.761,9.320
760,518,0,2.936,3.286,0.410,20.795,9.344
765,516,1,2.942,3.320,0.413,20.788,9.414
770,506,0,2.937,3.352,0.409,20.950,9.847
775,518,0,2.931,3.392,0.410,20.919,9.935
780,532,0,2.936,3.389,0.410,20.972,9.461
785,517,0,2.942,3.389,0.412,20.919,9.528
790,492,0,2.943,3.402,0.412,21.146,10.139
795,511,1,2.949,3.401,0.413,21.284,10.171
800,521,0,2.944,3.384,0.411,21.376,9.833
805,511,0,2.949,3.370,0.408,21.460,9.813
810,514,0,2.953,3.375,0.406,21.588,10.138
815,528,0,2.941,3.400,0.409,21.363,9.638
820,532,0,2.942,3.404,0.407,21.146,9.599
825,523,0,2.925,3.423,0.409,20.997,9.700
830,524,0,2.926,3.426,0.405,20.831,9.476
835,530,0,2.928,3.434,0.407,20.661,9.340
840,514,1,2.936,3.436,0.410,21.008,9.583
845,515,0,2.936,3.412,0.408,21.026,9.552
850,524,0,2.918,3.435,0.409,21.043,9.347
855,505,0,2.909,3.432,0.409,21.234,9.587
860,511,0,2.894,3.431,0.408,21.179,9.716
865,510,1,2.894,3.441,0.410,21.175,10.064
870,511,0,2.886,3.446,0.413,21.511,10.151
875,513,0,2.879,3.442,0.410,21.934,10.238
880,521,0,2.877,3.447,0.412,22.126,10.258
885,534,0,2.886,3.455,0.415,22.034,9.623
890,520,0,2.898,3.438,0.415,22.003,9.772
895,515,0,2.899,3.421,0.415,21.873,9.600
900,514,0,2.905,3.399,0.410,21.961,9.522
905,496,0,2.903,3.385,0.412,22.021,10.062
910,510,0,2.906,3.371,0.411,21.889,9.934
915,518,0,2.907,3.349,0.411,21.883,9.679
920,515,1,2.903,3.340,0.414,21.852,9.835
925,525,0,2.905,3.322,0.410,21.645,9.751
930,540,0,2.909,3.306,0.412,21.421,9.402
935,536,0,2.907,3.306,0.411,21.268,9.494
940,520,0,2.902,3.279,0.411,21.206,9.790
945,522,0,2.908,3.278,0.408,21.124,9.650
950,537,0,2.918,3.296,0.410,21.102,9.604
955,535,0,2.918,3.325,0.410,21.264,9.417
960,502,0,2.902,3.329,0.408,21.171,9.968
965,519,0,2.894,3.301,0.406,21.092,9.568
970,515,0,2.887,3.270,0.408,21.250,9.858
975,513,0,2.883,3.265,0.408,21.524,9.841
980,516,0,2.890,3.246,0.409,21.687,9.709
985,522,0,2.881,3.268,0.408,21.552,9.468
990,521,0,2.887,3.305,0.408,21.345,9.676
995,527,0,2.882,3.283,0.408,21.163,9.732
1000,517,0,2.882,3.267,0.408,21.392,9.899
1005,519,0,2.894,3.277,0.409,21.550,10.054
1010,547,0,2.912,3.261,0.409,21.322,9.574
1015,549,0,2.927,3.266,0.407,21.173,9.491
1020,531,0,2.934,3.250,0.407,21.306,9.496
1025,529,0,2.945,3.251,0.408,21.206,9.274
1030,523,0,2.943,3.268,0.406,21.061,9.420
1035,522,0,2.946,3.284,0.409,20.893,9.413
1040,524,0,2.947,3.347,0.410,20.496,9.224
1045,502,1,2.942,3.367,0.410,20.494,9.455
1050,503,0,2.930,3.340,0.411,20.598,9.428
1055,519,0,2.927,3.312,0.413,20.669,9.342
1060,511,0,2.930,3.252,0.412,20.765,9.617
1065,518,0,2.932,3.230,0.412,21.122,9.441
1070,518,0,2.931,3.205,0.410,21.025,9.319
1075,519,0,2.934,3.181,0.412,20.888,9.049
1080,514,1,2.944,3.187,0.413,20.751,9.057
1085,512,0,2.934,3.184,0.413,20.613,9.205
1090,496,0,2.933,3.212,0.416,20.645,9.616
1095,507,1,2.939,3.195,0.413,20.761,9.416
1100,511,0,2.945,3.200,0.411,21.121,9.574
1105,507,1,2.931,3.252,0.409,21.151,9.677
1110,514,0,2.912,3.265,0.411,21.242,9.370
1115,516,0,2.899,3.264,0.410,21.208,9.589
1120,524,1,2.889,3.269,0.410,21.174,9.626
1125,535,0,2.873,3.290,0.412,21.118,9.272
1130,515,1,2.874,3.283,0.411,21.176,9.623
1135,515,1,2.870,3.272,0.408,21.359,9.747
1140,524,0,2.878,3.227,0.409,21.165,9.787
1145,548,0,2.894,3.239,0.408,21.136,9.165
1150,526,0,2.907,3.232,0.409,21.140,9.709
1155,532,1,2.908,3.244,0.413,21.151,9.467
1160,522,0,2.916,3.282,0.410,21.253,9.583
1165,518,0,2.919,3.284,0.407,21.230,9.877
1170,519,0,2.913,3.289,0.409,21.139,9.748
1175,505,0,2.909,3.267,0.415,21.443,9.924
1180,519,1,2.902,3.297,0.412,21.394,9.749
1185,510,0,2.902,3.280,0.415,21.704,9.671
1190,507,1,2.897,3.278,0.414,21.792,9.980
1195,510,1,2.900,3.302,0.414,21.587,9.967
1200,521,0,2.889,3.338,0.414,21.011,10.016
1205,533,0,2.884,3.383,0.413,21.085,9.409
1210,523,0,2.876,3.384,0.413,21.266,9.538
1215,504,0,2.883,3.373,0.411,21.696,9.806
1220,498,1,2.886,3.357,0.413,22.160,10.341
1225,507,0,2.905,3.361,0.416,22.449,10.391
1230,528,0,2.917,3.413,0.415,22.410,10.081
1235,527,0,2.924,3.410,0.414,22.472,9.980
1240,520,1,2.931,3.402,0.416,22.328,10.057
1245,507,0,2.943,3.394,0.411,22.165,10.434
1250,510,1,2.927,3.359,0.411,22.163,10.114
1255,487,0,2.922,3.384,0.407,22.425,10.607
1260,515,0,2.926,3.406,0.408,22.252,10.522
1265,534,0,2.931,3.403,0.408,22.359,10.065
1270,508,0,2.949,3.382,0.407,22.628,10.656
1275,520,0,2.942,3.367,0.409,22.639,10.552
1280,527,0,2.926,3.374,0.408,22.725,10.276
1285,516,0,2.930,3.329,0.406,22.983,10.455
1290,508,0,2.935,3.303,0.407,23.141,10.733
1295,513,0,2.945,3.329,0.408,23.295,10.760
1300,505,0,2.949,3.343,0.408,23.347,10.983
1305,514,0,2.951,3.317,0.406,23.271,10.743
1310,504,0,2.946,3.345,0.409,23.430,11.142
1315,527,0,2.943,3.347,0.410,23.565,10.738
1320,514,1,2.932,3.356,0.409,23.889,10.858
1325,510,0,2.927,3.335,0.407,23.808,11.084
1330,512,0,2.934,3.320,0.408,23.632,11.102
1335,510,1,2.922,3.345,0.408,23.737,11.011
1340,527,0,2.911,3.349,0.409,23.669,10.851
1345,525,1,2.910,3.375,0.409,23.587,10.837
1350,528,0,2.903,3.381,0.409,23.638,10.978
1355,514,0,2.916,3.379,0.408,23.632,11.291
1360,523,0,2.922,3.361,0.408,23.778,11.047
1365,533,0,2.923,3.392,0.408,23.705,10.619
1370,515,0,2.926,3.390,0.408,23.770,11.011
1375,518,0,2.921,3.386,0.410,23.796,10.910
1380,516,0,2.913,3.372,0.409,23.926,10.685
1385,515,0,2.924,3.383,0.410,23.788,10.819
1390,526,1,2.916,3.388,0.413,23.710,10.676
1395,505,0,2.905,3.384,0.413,23.883,10.742
1400,507,0,2.897,3.381,0.411,24.057,10.570
1405,493,1,2.901,3.400,0.409,24.268,10.958
1410,491,0,2.908,3.389,0.408,24.397,11.414
1415,506,1,2.901,3.381,0.407,24.165,11.298
1420,527,0,2.896,3.368,0.409,23.948,10.933
1425,513,0,2.918,3.314,0.407,24.110,11.355
1430,522,0,2.921,3.295,0.409,23.956,11.187
1435,516,0,2.930,3.297,0.408,24.192,11.130
1440,514,0,2.938,3.335,0.407,24.316,11.235
1445,523,0,2.929,3.369,0.410,24.270,11.140
1450,524,0,2.924,3.370,0.411,24.388,11.140
1455,514,0,2.920,3.335,0.409,24.588,11.332
1460,511,1,2.928,3.350,0.408,24.614,11.381
1465,495,0,2.939,3.331,0.408,25.017,12.021
1470,504,0,2.946,3.335,0.407,25.022,12.202
1475,511,1,2.945,3.362,0.409,24.921,11.962
1480,532,0,2.942,3.361,0.410,25.064,11.367
1485,510,0,2.941,3.361,0.412,25.152,11.487
1490,512,0,2.932,3.393,0.413,25.149,11.543
1495,513,0,2.932,3.407,0.411,24.990,11.276
1500,503,0,2.938,3.412,0.411,25.254,11.418
1505,501,0,2.928,3.401,0.407,25.289,11.380
1510,496,0,2.925,3.395,0.407,25.324,11.754
1515,514,0,2.930,3.412,0.408,25.311,11.691
1520,522,0,2.929,3.408,0.411,25.238,11.441
1525,525,0,2.930,3.421,0.412,25.284,11.586
1530,522,0,2.933,3.404,0.411,25.179,11.352
1535,533,0,2.927,3.405,0.410,25.169,11.038
1540,529,0,2.928,3.414,0.410,24.787,10.989
1545,516,0,2.932,3.421,0.410,24.596,11.058
1550,511,0,2.926,3.432,0.408,24.470,11.261
1555,503,1,2.924,3.421,0.408,24.733,11.566
1560,513,0,2.922,3.398,0.411,24.931,11.583
1565,523,0,2.931,3.371,0.410,25.078,11.510
1570,526,1,2.933,3.357,0.409,24.995,11.212
1575,518,0,2.932,3.375,0.409,24.834,11.390
1580,507,1,2.925,3.359,0.408,24.789,11.378
1585,508,0,2.923,3.370,0.409,24.883,11.548
1590,498,0,2.912,3.369,0.408,25.010,11.798
1595,503,0,2.915,3.370,0.406,24.712,11.868
1600,507,0,2.913,3.359,0.407,24.790,11.821
1605,514,0,2.936,3.374,0.409,24.872,11.547
1610,534,0,2.933,3.358,0.410,24.937,11.023
1615,520,0,2.935,3.356,0.409,25.068,11.129
1620,512,1,2.939,3.332,0.407,25.045,11.279
1625,502,0,2.932,3.327,0.408,24.850,11.332
1630,506,0,2.935,3.322,0.406,24.865,11.548
1635,512,0,2.922,3.297,0.407,24.662,11.191
1640,520,0,2.917,3.290,0.407,24.552,10.880
1645,516,0,2.922,3.287,0.407,24.733,11.122
1650,500,0,2.914,3.298,0.408,24.586,11.413
1655,519,0,2.921,3.268,0.409,24.084,11.258
1660,508,0,2.919,3.280,0.411,24.447,11.334
1665,511,0,2.912,3.280,0.416,24.456,11.134
1670,496,0,2.893,3.292,0.412,24.458,11.550
1675,501,0,2.898,3.285,0.412,24.855,11.779
1680,516,0,2.901,3.297,0.412,25.042,11.541
1685,529,0,2.905,3.297,0.413,25.009,11.396
1690,517,0,2.905,3.298,0.413,24.951,11.469
1695,514,0,2.912,3.270,0.410,24.901,11.562
1700,521,0,2.927,3.263,0.407,25.087,11.389
1705,512,0,2.936,3.256,0.408,24.872,11.661
1710,520,1,2.944,3.244,0.408,24.930,11.539
1715,493,0,2.957,3.227,0.409,25.225,12.248
1720,516,0,2.952,3.198,0.408,25.172,12.083
1725,535,0,2.955,3.191,0.406,25.193,11.353
1730,524,1,2.956,3.183,0.407,25.290,11.680
1735,530,0,2.953,3.219,0.406,25.145,11.463
1740,525,0,2.943,3.246,0.407,25.181,11.395
1745,516,0,2.940,3.234,0.407,25.042,11.504
1750,529,0,2.940,3.229,0.410,24.748,11.485
1755,521,0,2.939,3.244,0.408,24.759,11.695
1760,535,0,2.944,3.269,0.408,24.753,11.052
1765,525,0,2.949,3.276,0.406,24.736,11.300
1770,515,0,2.948,3.297,0.406,24.899,11.067
1775,519,0,2.948,3.283,0.405,24.645,10.955
1780,497,0,2.962,3.302,0.407,24.881,11.701
1785,520,0,2.954,3.308,0.408,24.823,11.467
1790,531,0,2.959,3.331,0.413,24.532,11.244
1795,524,0,2.948,3.313,0.415,24.706,11.235
1800,518,1,2.942,3.303,0.413,24.673,11.498
1805,517,0,2.932,3.317,0.409,24.802,11.451
1810,509,0,2.929,3.344,0.408,24.924,11.748
1815,525,0,2.922,3.345,0.406,24.851,11.498
1820,520,0,2.925,3.365,0.406,24.805,11.636
1825,535,1,2.920,3.363,0.406,24.640,11.171
1830,523,0,2.920,3.348,0.405,24.606,11.256
1835,517,0,2.921,3.331,0.405,24.616,11.266
1840,518,0,2.905,3.340,0.407,24.794,11.299
1845,510,0,2.908,3.339,0.408,24.916,11.685
1850,515,0,2.915,3.351,0.407,25.153,11.420
1855,508,0,2.921,3.362,0.409,25.164,11.621
1860,514,0,2.918,3.381,0.409,25.140,11.602
1865,499,0,2.922,3.403,0.407,25.270,12.304
1870,520,0,2.917,3.392,0.407,25.081,12.110
1875,531,1,2.917,3.388,0.408,25.071,11.857
1880,537,0,2.911,3.380,0.409,25.039,11.506
1885,531,0,2.917,3.341,0.411,25.334,11.696
1890,530,0,2.921,3.336,0.410,25.482,11.479
1895,514,0,2.903,3.307,0.406,25.661,11.681
1900,511,0,2.885,3.294,0.405,25.751,11.756
1905,505,0,2.889,3.319,0.405,25.759,12.047
1910,509,0,2.886,3.338,0.406,25.690,11.989
1915,528,0,2.881,3.352,0.407,25.488,11.719
1920,526,0,2.884,3.348,0.409,25.395,11.713
1925,536,0,2.890,3.358,0.409,25.408,11.345
1930,542,0,2.886,3.367,0.411,25.154,11.204
1935,518,0,2.884,3.373,0.410,25.353,11.602
1940,502,0,2.878,3.353,0.409,25.550,11.810
1945,497,0,2.893,3.352,0.407,25.580,11.784
1950,509,0,2.892,3.328,0.410,25.252,11.660
1955,520,0,2.898,3.335,0.410,25.522,11.493
1960,491,0,2.898,3.340,0.413,25.804,12.453
1965,500,0,2.908,3.324,0.412,25.814,12.398
1970,525,0,2.909,3.305,0.412,25.905,12.095
1975,523,0,2.922,3.323,0.413,25.990,12.193
1980,515,0,2.924,3.309,0.410,26.034,12.187
1985,517,0,2.926,3.294,0.412,25.899,12.093
1990,521,0,2.929,3.298,0.411,26.041,12.085
1995,517,0,2.936,3.290,0.410,26.022,12.043
2000,516,1,2.946,3.291,0.410,26.102,12.376
2005,519,0,2.944,3.303,0.409,26.223,12.092
2010,524,0,2.945,3.305,0.408,26.209,11.908
2015,512,0,2.941,3.328,0.406,26.368,12.198
2020,507,0,2.943,3.310,0.407,26.445,12.561
2025,519,0,2.944,3.304,0.407,26.358,12.384
2030,526,1,2.945,3.302,0.406,26.251,12.382
2035,528,0,2.943,3.282,0.406,26.408,12.097
2040,526,0,2.939,3.264,0.406,26.407,12.370
2045,531,1,2.930,3.282,0.405,26.349,12.135
2050,536,0,2.944,3.282,0.404,26.283,11.952
2055,547,0,2.947,3.260,0.406,26.142,11.278
2060,527,0,2.945,3.266,0.405,26.063,11.542
2065,520,0,2.931,3.263,0.405,26.081,11.428
2070,519,0,2.919,3.287,0.405,25.827,11.575
2075,517,0,2.915,3.286,0.408,25.809,11.475
2080,498,0,2.926,3.303,0.407,26.361,12.074
2085,497,0,2.932,3.304,0.408,26.381,12.383
2090,502,0,2.920,3.269,0.407,26.363,12.522
2095,522,0,2.925,3.257,0.409,26.484,12.198
2100,516,0,2.930,3.225,0.407,26.390,12.368
2105,512,0,2.936,3.230,0.407,26.340,12.576
2110,531,0,2.940,3.228,0.409,26.301,12.204
2115,535,0,2.938,3.243,0.408,26.240,12.228
2120,534,0,2.929,3.253,0.410,26.145,12.015
2125,505,0,2.929,3.250,0.408,26.420,12.659
2130,518,0,2.919,3.247,0.408,26.431,12.653
2135,534,0,2.910,3.247,0.410,26.426,12.074
2140,539,0,2.911,3.239,0.410,26.348,11.908
2145,527,0,2.920,3.230,0.413,26.460,11.897
2150,514,0,2.924,3.202,0.414,26.711,12.326
2155,505,1,2.923,3.190,0.412,26.828,12.506
2160,516,1,2.911,3.211,0.412,26.968,12.288
2165,520,0,2.915,3.198,0.411,26.967,12.390
2170,511,1,2.918,3.213,0.410,27.026,12.544
2175,510,0,2.918,3.241,0.408,27.177,12.437
2180,507,0,2.923,3.266,0.409,27.286,12.479
2185,514,0,2.926,3.300,0.411,27.288,12.325
2190,520,1,2.931,3.285,0.411,27.218,12.341
2195,512,0,2.932,3.279,0.409,27.115,12.481
2200,514,1,2.928,3.274,0.412,27.051,12.469
2205,508,0,2.927,3.258,0.411,26.953,12.664
2210,517,1,2.925,3.246,0.410,27.032,12.418
2215,509,0,2.919,3.234,0.409,27.051,12.835
2220,505,0,2.915,3.194,0.408,27.123,13.002
2225,516,0,2.919,3.182,0.408,27.268,12.743
2230,521,1,2.916,3.198,0.410,27.171,12.681
2235,516,0,2.922,3.188,0.411,27.196,12.791
2240,528,0,2.917,3.186,0.410,27.217,12.484
2245,529,0,2.928,3.170,0.408,27.240,12.590
2250,525,1,2.920,3.170,0.408,26.908,12.874
2255,536,0,2.922,3.164,0.407,26.888,12.512
2260,531,0,2.927,3.169,0.407,26.894,12.582
2265,532,0,2.925,3.169,0.407,26.838,12.601
2270,529,0,2.919,3.168,0.405,26.894,12.734
2275,522,0,2.908,3.188,0.406,27.017,12.599
2280,523,0,2.910,3.212,0.406,26.896,12.705
2285,523,0,2.904,3.208,0.407,26.963,12.504
2290,519,0,2.913,3.222,0.407,27.119,12.304
2295,520,0,2.921,3.221,0.410,27.211,12.587
2300,510,0,2.933,3.239,0.410,27.305,13.110
2305,525,0,2.930,3.248,0.410,27.263,12.548
2310,519,0,2.929,3.250,0.409,27.337,12.757
2315,518,0,2.923,3.243,0.409,27.366,13.129
2320,521,0,2.925,3.259,0.408,27.489,12.999
2325,523,0,2.929,3.250,0.409,27.504,13.015
2330,539,0,2.928,3.241,0.410,27.497,12.496
2335,533,0,2.925,3.250,0.409,27.445,12.326
2340,526,0,2.930,3.253,0.408,27.386,12.406
2345,519,0,2.934,3.247,0.406,27.403,12.595
2350,515,0,2.944,3.252,0.406,27.338,12.706
2355,515,0,2.938,3.272,0.403,27.273,12.706
2360,525,0,2.933,3.265,0.403,27.113,12.799
2365,529,1,2.924,3.263,0.406,26.918,12.720
2370,526,0,2.922,3.259,0.407,26.755,13.051
2375,532,1,2.912,3.258,0.407,26.682,12.692
2380,535,1,2.910,3.258,0.407,26.704,12.432
2385,537,0,2.914,3.250,0.404,26.698,12.199
2390,522,1,2.923,3.230,0.405,26.811,12.396
2395,510,0,2.924,3.210,0.407,26.877,12.642
2400,511,0,2.930,3.225,0.408,26.911,12.849
2405,527,0,2.920,3.213,0.407,27.105,12.460
2410,526,0,2.905,3.205,0.406,27.085,12.356
2415,542,0,2.902,3.208,0.407,26.788,11.848
2420,538,0,2.903,3.206,0.408,26.749,11.807
2425,531,0,2.915,3.218,0.407,26.726,11.815
2430,514,0,2.926,3.216,0.408,26.605,12.248
2435,518,0,2.931,3.218,0.408,26.556,12.408
2440,529,0,2.930,3.225,0.406,26.337,12.061
2445,522,0,2.923,3.232,0.407,26.439,12.217
2450,522,0,2.933,3.224,0.409,26.834,12.150
2455,504,0,2.933,3.234,0.406,26.827,12.615
2460,516,0,2.928,3.236,0.410,26.557,12.307
2465,518,1,2.911,3.245,0.411,26.744,12.372
2470,521,0,2.921,3.232,0.409,26.780,12.369
2475,522,0,2.931,3.216,0.410,26.798,12.340
2480,534,0,2.923,3.242,0.411,26.851,12.015
2485,515,0,2.918,3.274,0.410,26.985,12.242
2490,511,0,2.918,3.268,0.411,27.069,12.446
2495,514,0,2.916,3.237,0.410,27.369,12.385
2500,520,0,2.917,3.237,0.411,27.305,12.355
